0.04 0.220152 0.657731 0.43282 2
1.1 0.488902 0.583628 0 1
1.56 0.489013 0.551223 0.0111779 0
1.76 0.648901 0.292803 0 0
1.96 0.654468 0.172652 0 0
2.34 0.0166741 0.242806 0.245877 0
2.54 0.513877 0.457875 0.0466018 0
2.74 0.362493 0.630785 0.540247 0
2.94 0.33826 0.370919 0.513539 0
3.14 0.1319 0.0536014 0.15823 1
3.6 0.347453 0.587606 0.26057 0
3.8 0.627787 0.616795 0.162215 0
4 0.22661 0.191486 0.495187 0
4.2 0.11071 0.324734 0.227688 2
5.02 0.192589 0.552316 0.221287 1
5.22 0.390462 0.347857 0 2
5.58 0.623446 0.302411 0 0
5.78 0.457673 0.466991 0.212992 0
5.98 0.666376 0.276728 0.331767 0
6.18 0.661631 0.640054 0 0
6.38 0.297457 0.595935 0.0567196 1
7.06 0.574197 0.311294 0.0104989 0
7.26 0.353445 0.170783 0.342478 0
7.84 0.464704 0.262603 0.0732349 0
8.58 0.65781 0.905892 0 0
9.26 0.104427 0.409823 0.750946 0
9.46 0.467788 0.458791 0.390353 0
9.88 0.430099 0.444257 0 0
10.5 0.705704 0.488603 0.40133 3
11.08 0.670054 0.481302 0.575783 3
11.64 0.359214 0.325553 0.518039 2
12.26 0.461786 0 0.432235 2
12.46 0.461489 0.145514 0.512985 1
12.88 0.817425 0.0474312 0.377748 2
13.4 0.384154 0 0.184711 2
13.9 0.628707 0.308175 0.378665 3
14.66 0.359359 0 0.255773 3
15.34 0.566438 0 0.270717 3
15.54 0.808208 0.423855 0.852482 3
15.74 0.629932 0.451986 0.496098 4
15.94 0.519043 0.0892543 0.484025 4
16.38 0.672446 0 0.63843 3
17.14 0.408135 0 0.612275 4
17.8 0.562601 0.438211 0.241924 1
18.66 0.557971 0 0.475389 3
18.86 0.649411 0.543489 0.431099 2
19.06 0.224754 0.130542 0.430172 2
20.12 0.113434 0 0.903382 4
20.32 0.159742 0.182346 0.675524 2
21.18 0.0831127 0 0.420329 3
21.88 0 0.0760246 0.68564 1
23.06 0 0.304097 0.423338 3
23.42 0.0710894 0 0.158865 2
23.82 0 0.311439 0.118294 2
24.3 0 0.444874 0.366167 2
25 0.161835 0.00932313 0.648288 4
25.2 0.368072 0 0.471799 3
25.4 0 0.171123 0.605366 1
25.8 0.497136 0.0574205 0.327535 3
26.12 0.224395 0 0.466811 2
26.74 0.40324 0.337111 0.482476 2
27.1 0 0 0.759015 0
27.86 0.230311 0.292654 0.595272 3
28.26 0 0.373682 0.619042 1
29.3 0.527316 0 0.36428 1
30.24 0.0988017 0.688812 0.212422 3
31.14 0.263455 0.046008 0 4
31.82 0.110734 0.10163 0.262275 4
32.96 0.246067 0.140691 0.117413 3
33.82 0.261466 0.312708 0.176888 2
34.54 0.324172 0.127678 0.0672244 2
35.28 0.585321 0.0689284 0.0728594 2
35.98 0.360917 0.487117 0 2
36.92 0.0400927 0.582158 0.414228 4
37.92 0.00210118 0.155178 0 2
38.58 0.202327 0.485543 0.20382 2
39.52 0.452975 0.544674 0.280028 3
40.28 0.591835 0.0030379 0.359683 3
41.22 0 0.426104 0.54391 3
42.12 0 0.140802 0.35535 3
42.68 0.559639 0.0306494 0.569216 3
43.64 0.378941 0.177243 0.512415 1
44.8 0 0.375807 0.70213 3
45.84 0.138592 0.316086 0.640001 3
